config_id,encoder_depth,quantization_bits,ldpc_code_rate,qam_order,snr_db,channel_model,dataset,batch_size,feature_dim,payload_bits,header_bits,payload_bits_with_header,coded_bits,coded_bits_with_header,qam_bits_per_symbol,qam_symbols,qam_symbols_with_header,payload_bytes,payload_bytes_with_header,coded_bytes,coded_bytes_with_header,ldpc_padding_bits,bit_error_rate,bit_errors,block_errors,block_error_rate,ldpc_nonconvergence_rate,ldpc_blocks,ldpc_converged_blocks,ldpc_max_iterations_used,semantic_score,classifier_agreement,original_accuracy,recovered_accuracy,encoding_latency_ms,decoding_latency_ms
cifar10_vitb16_10000_d1_q2_r12_qam4_snr-10,1,2,0.5,4,-10.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,2,10240020,10320048,1280000.0,1290000.0,2560005.0,2580012.0,20,0.375096484375,3840988,31605,1.0,1.0,31605,0,25,0.0471902713179588,0.1649,0.3169,0.1244,0.0,528325.2527679998
cifar10_vitb16_10000_d1_q2_r12_qam4_snr-5,1,2,0.5,4,-5.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,2,10240020,10320048,1280000.0,1290000.0,2560005.0,2580012.0,20,0.28013505859375,2868583,31605,1.0,1.0,31605,0,25,0.087803803384304,0.2012,0.3169,0.1382,0.0,544548.0472119998
cifar10_vitb16_10000_d1_q2_r12_qam4_snr0,1,2,0.5,4,0.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,2,10240020,10320048,1280000.0,1290000.0,2560005.0,2580012.0,20,0.109854296875,1124908,31601,0.999873437747192,0.999873437747192,31605,4,25,0.1999736279249191,0.2835,0.3169,0.1717,0.0,554025.8392600007
cifar10_vitb16_10000_d1_q2_r12_qam4_snr5,1,2,0.5,4,5.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,2,10240020,10320048,1280000.0,1290000.0,2560005.0,2580012.0,20,1.66015625e-06,17,10,0.0003164056320202,0.00015820281601,31605,31600,25,0.4122742116451263,0.3913,0.3169,0.1981,0.0,377747.2220020008
cifar10_vitb16_10000_d1_q2_r12_qam4_snr10,1,2,0.5,4,10.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,2,10240020,10320048,1280000.0,1290000.0,2560005.0,2580012.0,20,0.0,0,0,0.0,0.0,31605,31605,2,0.4122806191444397,0.3913,0.3169,0.1981,0.0,34481.680817998495
cifar10_vitb16_10000_d1_q2_r12_qam4_snr15,1,2,0.5,4,15.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,2,10240020,10320048,1280000.0,1290000.0,2560005.0,2580012.0,20,0.0,0,0,0.0,0.0,31605,31605,1,0.4122806191444397,0.3913,0.3169,0.1981,0.0,20171.904040998925
cifar10_vitb16_10000_d1_q2_r12_qam4_snr20,1,2,0.5,4,20.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,2,10240020,10320048,1280000.0,1290000.0,2560005.0,2580012.0,20,0.0,0,0,0.0,0.0,31605,31605,1,0.4122806191444397,0.3913,0.3169,0.1981,0.0,35853.6610200008
cifar10_vitb16_10000_d1_q2_r12_qam16_snr-10,1,2,0.5,16,-10.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,4,5120010,5160024,1280000.0,1290000.0,2560005.0,2580012.0,20,0.43531513671875,4457627,31605,1.0,1.0,31605,0,25,0.0880142673850059,0.1857,0.3169,0.1319,0.0,554246.1961360004
cifar10_vitb16_10000_d1_q2_r12_qam16_snr-5,1,2,0.5,16,-5.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,4,5120010,5160024,1280000.0,1290000.0,2560005.0,2580012.0,20,0.37719384765625,3862465,31605,1.0,1.0,31605,0,25,0.1351411193609237,0.2215,0.3169,0.1423,0.0,553318.3020640007
cifar10_vitb16_10000_d1_q2_r12_qam16_snr0,1,2,0.5,16,0.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,4,5120010,5160024,1280000.0,1290000.0,2560005.0,2580012.0,20,0.27473818359375,2813319,31605,1.0,1.0,31605,0,25,0.1885220408439636,0.255,0.3169,0.1566,0.0,531404.0492180011
cifar10_vitb16_10000_d1_q2_r12_qam16_snr5,1,2,0.5,16,5.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,4,5120010,5160024,1280000.0,1290000.0,2560005.0,2580012.0,20,0.11618251953125,1189709,31602,0.999905078310394,0.999905078310394,31605,3,25,0.2554134130477905,0.2986,0.3169,0.1747,0.0,550022.3434830004
cifar10_vitb16_10000_d1_q2_r12_qam16_snr10,1,2,0.5,16,10.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,4,5120010,5160024,1280000.0,1290000.0,2560005.0,2580012.0,20,2.05078125e-05,210,54,0.0017085904129093,0.0007593735168486,31605,31581,25,0.4122147560119629,0.3912,0.3169,0.1981,0.0,451856.5222610014
cifar10_vitb16_10000_d1_q2_r12_qam16_snr15,1,2,0.5,16,15.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,4,5120010,5160024,1280000.0,1290000.0,2560005.0,2580012.0,20,0.0,0,0,0.0,0.0,31605,31605,4,0.4122806191444397,0.3913,0.3169,0.1981,0.0,75171.36563900021
cifar10_vitb16_10000_d1_q2_r12_qam16_snr20,1,2,0.5,16,20.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,4,5120010,5160024,1280000.0,1290000.0,2560005.0,2580012.0,20,0.0,0,0,0.0,0.0,31605,31605,1,0.4122806191444397,0.3913,0.3169,0.1981,0.0,39240.72909999813
cifar10_vitb16_10000_d1_q2_r12_qam64_snr-10,1,2,0.5,64,-10.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,6,3413340,3440016,1280000.0,1290000.0,2560005.0,2580012.0,20,0.46223701171875,4733307,31605,1.0,1.0,31605,0,25,0.0357897840440273,0.1385,0.3169,0.1057,0.0,408447.6602550003
cifar10_vitb16_10000_d1_q2_r12_qam64_snr-5,1,2,0.5,64,-5.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,6,3413340,3440016,1280000.0,1290000.0,2560005.0,2580012.0,20,0.430245703125,4405716,31605,1.0,1.0,31605,0,25,0.055050328373909,0.1564,0.3169,0.1143,0.0,538586.162648
cifar10_vitb16_10000_d1_q2_r12_qam64_snr0,1,2,0.5,64,0.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,6,3413340,3440016,1280000.0,1290000.0,2560005.0,2580012.0,20,0.372253515625,3811876,31605,1.0,1.0,31605,0,25,0.0878858491778373,0.1781,0.3169,0.1287,0.0,467975.48918599926
cifar10_vitb16_10000_d1_q2_r12_qam64_snr5,1,2,0.5,64,5.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,6,3413340,3440016,1280000.0,1290000.0,2560005.0,2580012.0,20,0.2493564453125,2553410,31605,1.0,1.0,31605,0,25,0.1223281398415565,0.2122,0.3169,0.1398,0.0,481838.1974889999
cifar10_vitb16_10000_d1_q2_r12_qam64_snr10,1,2,0.5,64,10.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,6,3413340,3440016,1280000.0,1290000.0,2560005.0,2580012.0,20,0.0801482421875,820718,30751,0.9729789590254706,0.9740863787375416,31605,819,25,0.2465753704309463,0.3018,0.3169,0.1709,0.0,388277.2267830005
cifar10_vitb16_10000_d1_q2_r12_qam64_snr15,1,2,0.5,64,15.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,6,3413340,3440016,1280000.0,1290000.0,2560005.0,2580012.0,20,5.703125e-05,584,122,0.003860148710647,0.0012972630912829,31605,31564,25,0.4120851159095764,0.3916,0.3169,0.1982,0.0,561430.4323100004
cifar10_vitb16_10000_d1_q2_r12_qam64_snr20,1,2,0.5,64,20.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,6,3413340,3440016,1280000.0,1290000.0,2560005.0,2580012.0,20,0.0,0,0,0.0,0.0,31605,31605,4,0.4122806191444397,0.3913,0.3169,0.1981,0.0,128312.65531299869
cifar10_vitb16_10000_d1_q2_r12_qam256_snr-10,1,2,0.5,256,-10.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,8,2560005,2580012,1280000.0,1290000.0,2560005.0,2580012.0,20,0.4704466796875,4817374,31605,1.0,1.0,31605,0,25,0.0475699752569198,0.1478,0.3169,0.1144,0.0,622228.5860349984
cifar10_vitb16_10000_d1_q2_r12_qam256_snr-5,1,2,0.5,256,-5.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,8,2560005,2580012,1280000.0,1290000.0,2560005.0,2580012.0,20,0.4430986328125,4537330,31605,1.0,1.0,31605,0,25,0.0746346041560173,0.1694,0.3169,0.1211,0.0,849275.6650760003
cifar10_vitb16_10000_d1_q2_r12_qam256_snr0,1,2,0.5,256,0.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,8,2560005,2580012,1280000.0,1290000.0,2560005.0,2580012.0,20,0.39676845703125,4062909,31605,1.0,1.0,31605,0,25,0.1087443456053733,0.1816,0.3169,0.1247,0.0,639825.2089259985
cifar10_vitb16_10000_d1_q2_r12_qam256_snr5,1,2,0.5,256,5.0,awgn,cifar10_vitb16_layer_features_test,10000,512,10240000,8,10320000,20480040,20640096,8,2560005,2580012,1280000.0,1290000.0,2560005.0,2580012.0,20,0.32736630859375,3352231,31605,1.0,1.0,31605,0,25,0.1529632657766342,0.2399,0.3169,0.144,0.0,623944.6503420003
