encoder_depth,quantization_bits,snr_db,rows,avg_ber,avg_bler,avg_semantic_score,avg_recovered_accuracy
1,2,-10.0,12,0.43584819335937497,1.0,0.05518288258463139,0.11775000000000001
1,2,-5.0,12,0.38401959635416666,1.0,0.08806070095549023,0.129
1,2,0.0,12,0.29772271321614585,0.9999894531455994,0.14085869429012135,0.14348333333333332
1,2,5.0,12,0.18343557942708333,0.756031918623917,0.23166987734536326,0.16345833333333334
1,2,10.0,12,0.09010201822916668,0.5659028152750843,0.3074428550899028,0.18121666666666666
1,2,15.0,12,0.028454370117187502,0.29112037306818905,0.37500449021657306,0.19286666666666666
1,2,20.0,12,0.0027982910156249996,0.08087446731132757,0.40665393074353534,0.19733333333333333
1,4,-10.0,12,0.4306357950846354,1.0,0.044184414359430435,0.11260833333333332
1,4,-5.0,12,0.37125402018229164,1.0,0.06374745241676764,0.11714166666666666
1,4,0.0,12,0.2715651000976563,0.9999894531455994,0.0904727137337128,0.12701666666666667
1,4,5.0,12,0.16853501383463543,0.7558429535003676,0.22778936475515363,0.15520833333333334
1,4,10.0,12,0.08842100423177084,0.5676256908714662,0.3282479575524727,0.1791
1,4,15.0,12,0.028340303548177084,0.31955633363745867,0.44204913700620335,0.19815000000000002
1,4,20.0,12,0.0034878173828125,0.08469283121932618,0.5158435677488645,0.20986666666666665
1,8,-10.0,12,0.42942141723632815,1.0,0.03832950330494587,0.10874166666666667
1,8,-5.0,12,0.36923932291666667,1.0,0.05218014641044035,0.11235
1,8,0.0,12,0.268104551188151,0.999983520539999,0.06773827581976848,0.11584166666666666
1,8,5.0,12,0.16794861857096355,0.7559980839881172,0.2943576375643412,0.16555833333333334
1,8,10.0,12,0.08898988444010418,0.565817095572079,0.45557051431387663,0.19869166666666668
1,8,15.0,12,0.02942949015299479,0.33037384204327724,0.6594729386270046,0.23915833333333333
1,8,20.0,12,0.0037190958658854163,0.094328099456837,0.8819476496428251,0.2841416666666667
2,2,-10.0,12,0.435421875,1.0,0.05800667715569333,0.11240833333333333
2,2,-5.0,12,0.38384342447916664,1.0,0.0914388826737801,0.12095833333333333
2,2,0.0,12,0.29757587076822917,0.9999762695775986,0.14617710436383877,0.12683333333333333
2,2,5.0,12,0.1831437174479167,0.7560160976749062,0.2373909105857213,0.12643333333333331
2,2,10.0,12,0.08983732096354168,0.5644855885003265,0.313399102538824,0.12820833333333334
2,2,15.0,12,0.028212150065104163,0.28877150318695294,0.37999666978915525,0.1236
2,2,20.0,12,0.0026985677083333336,0.07884288760254995,0.41098625212907786,0.12203333333333333
2,4,-10.0,12,0.4300579305013021,1.0,0.046447208228831444,0.107775
2,4,-5.0,12,0.37082536621093753,1.0,0.06631434693311647,0.113
2,4,0.0,12,0.271237109375,0.999982861361599,0.09361658369501429,0.116925
2,4,5.0,12,0.16838654785156248,0.7561784748054318,0.22909732690701878,0.13065833333333332
2,4,10.0,12,0.08832386474609376,0.5664248910751631,0.329187847673893,0.14246666666666666
2,4,15.0,12,0.028247762044270833,0.3193245220847589,0.44221990555524826,0.150275
2,4,20.0,12,0.0034264689127604165,0.08390951298591681,0.5161394948760668,0.1474
2,8,-10.0,12,0.42911979980468745,1.0,0.04054471776665494,0.10606666666666666
2,8,-5.0,12,0.3689312723795573,1.0,0.05454669877265886,0.10778333333333333
2,8,0.0,12,0.2677929748535156,0.9999854980751991,0.07029836671426888,0.11085833333333334
2,8,5.0,12,0.16809623209635416,0.7561010256815904,0.29543955763801927,0.15886666666666668
2,8,10.0,12,0.08899536946614583,0.5660164970380918,0.4557505489016573,0.19384166666666666
2,8,15.0,12,0.02927899373372396,0.32986451686617796,0.6596398067971071,0.23866666666666667
2,8,20.0,12,0.003654734293619792,0.09325539647383502,0.8830571050445238,0.28434166666666666
3,2,-10.0,12,0.4359421875,1.0,0.06025300205995635,0.11920833333333332
3,2,-5.0,12,0.38415048828125004,1.0,0.09421782940626139,0.12964166666666668
3,2,0.0,12,0.2977039957682292,0.9999868164319992,0.1493495665490627,0.151575
3,2,5.0,12,0.1840239664713542,0.7559361173994462,0.23824484460055825,0.18085833333333334
3,2,10.0,12,0.090214892578125,0.5669473933500963,0.3128723911941051,0.20676666666666665
3,2,15.0,12,0.028417700195312496,0.29008106719679294,0.3800496955712636,0.22188333333333332
3,2,20.0,12,0.002851643880208334,0.08127393631832093,0.4109326774875323,0.22749166666666665
3,4,-10.0,12,0.43145362955729166,1.0,0.04922615022708968,0.11124166666666667
3,4,-5.0,12,0.3718151814778646,1.0,0.06952663930132981,0.11743333333333333
3,4,0.0,12,0.27207847493489584,0.9999802246479987,0.09686925417433179,0.12623333333333334
