quantization_bits,ldpc_code_rate,qam_order,snr_db,rows,avg_ber,avg_bler,avg_semantic_score,avg_recovered_accuracy
2,0.5,4,-10.0,12,0.37480786946614586,1.0,0.05483164172619578,0.143575
2,0.5,4,-5.0,12,0.2800544921875,1.0,0.10123734921216959,0.18899999999999997
2,0.5,4,0.0,12,0.109572314453125,0.9997890629119865,0.23181082804997757,0.303475
2,0.5,4,5.0,12,2.9378255208333333e-06,0.0003454094816220583,0.4755507657925288,0.42785
2,0.5,4,10.0,12,0.0,0.0,0.47556548068920773,0.42783333333333334
2,0.5,4,15.0,12,0.0,0.0,0.47556548068920773,0.42783333333333334
2,0.5,4,20.0,12,0.0,0.0,0.47556548068920773,0.42783333333333334
2,0.5,16,-10.0,12,0.43683597819010417,1.0,0.1025677435100078,0.17330833333333331
2,0.5,16,-5.0,12,0.37817581380208337,1.0,0.15674908955891922,0.21974166666666664
2,0.5,16,0.0,12,0.2749432210286458,1.0,0.21882829442620275,0.2779333333333333
2,0.5,16,5.0,12,0.11654602864583334,0.9998998048831936,0.2953034564852714,0.3389166666666667
2,0.5,16,10.0,12,2.7962239583333334e-05,0.0022754838369455836,0.4754635343949,0.42785
2,0.5,16,15.0,12,0.0,0.0,0.47556548068920773,0.42783333333333334
2,0.5,16,20.0,12,0.0,0.0,0.47556548068920773,0.42783333333333334
2,0.5,64,-10.0,12,0.46228493652343755,1.0,0.04357683161894477,0.11525
2,0.5,64,-5.0,12,0.43053240559895833,1.0,0.06590204841146864,0.13235833333333333
2,0.5,64,0.0,12,0.3723167805989583,1.0,0.10577306275566416,0.16339166666666669
2,0.5,64,5.0,12,0.249355224609375,1.0,0.1452059938261906,0.21882499999999996
2,0.5,64,10.0,12,0.07980531412760417,0.9703396087117019,0.28715945159395534,0.3357333333333334
2,0.5,64,15.0,12,5.9073893229166666e-05,0.0038970627010493663,0.47533681740363437,0.427775
2,0.5,64,20.0,12,6.510416666666667e-08,1.3183568000843748e-05,0.4755652571717898,0.42783333333333334
2,0.5,256,-10.0,12,0.4717354736328125,1.0,0.05525033082813019,0.12724166666666667
2,0.5,256,-5.0,12,0.44425541992187495,1.0,0.08599081511298812,0.150775
2,0.5,256,0.0,12,0.3977699462890625,1.0,0.12542589940130708,0.18365
2,0.5,256,5.0,12,0.327788427734375,1.0,0.17733783523241675,0.24486666666666668
2,0.5,256,10.0,12,0.2166850748697917,1.0,0.24781276658177373,0.3141083333333333
2,0.5,256,15.0,12,0.05222958170572917,0.8261957496176766,0.36561718334754306,0.3807416666666667
2,0.5,256,20.0,12,4.817708333333334e-06,0.0002214839424141375,0.4755491415659587,0.42782499999999996
2,0.6666666666666666,4,-10.0,12,0.3758923828125,1.0,0.054169113747775506,0.14141666666666666
2,0.6666666666666666,4,-5.0,12,0.2863818359375,1.0,0.09858494003613787,0.18458333333333332
2,0.6666666666666666,4,0.0,12,0.14975488281250002,1.0,0.1918263919651508,0.272875
2,0.6666666666666666,4,5.0,12,5.6111653645833333e-05,0.0043979919001012,0.47533875455458957,0.4277666666666667
2,0.6666666666666666,4,10.0,12,0.0,0.0,0.47556548068920773,0.42783333333333334
2,0.6666666666666666,4,15.0,12,0.0,0.0,0.47556548068920773,0.42783333333333334
2,0.6666666666666666,4,20.0,12,0.0,0.0,0.47556548068920773,0.42783333333333334
2,0.6666666666666666,16,-10.0,12,0.43750708007812505,1.0,0.10289542873700454,0.1713916666666667
2,0.6666666666666666,16,-5.0,12,0.3805429361979167,1.0,0.15727143858869866,0.22279166666666664
2,0.6666666666666666,16,0.0,12,0.2831381591796875,1.0,0.21794304624199864,0.2789333333333333
2,0.6666666666666666,16,5.0,12,0.15686416015625002,1.0,0.27235143010814983,0.3225
2,0.6666666666666666,16,10.0,12,0.0022752604166666668,0.09995500056249292,0.46850668887297314,0.4244833333333333
2,0.6666666666666666,16,15.0,12,0.0,0.0,0.47556548068920773,0.42783333333333334
2,0.6666666666666666,16,20.0,12,0.0,0.0,0.47556548068920773,0.42783333333333334
2,0.6666666666666666,64,-10.0,12,0.4620967854817708,1.0,0.044675521863003546,0.11472500000000001
2,0.6666666666666666,64,-5.0,12,0.43066064453124997,1.0,0.06825784252335625,0.13338333333333333
2,0.6666666666666666,64,0.0,12,0.37571334635416664,1.0,0.11189882581432657,0.16559166666666666
2,0.6666666666666666,64,5.0,12,0.25648465983072916,1.0,0.13962388597428796,0.211925
2,0.6666666666666666,64,10.0,12,0.13653287760416666,1.0,0.22250227009256676,0.2895583333333333
2,0.6666666666666666,64,15.0,12,0.0012896484375,0.06055939925750924,0.4705357725421588,0.4255
2,0.6666666666666666,64,20.0,12,0.0,0.0,0.47556548068920773,0.42783333333333334
2,0.6666666666666666,256,-10.0,12,0.47189097493489585,1.0,0.05515562463551755,0.12675833333333333
2,0.6666666666666666,256,-5.0,12,0.4449135335286458,1.0,0.0855090940992037,0.14880833333333332
2,0.6666666666666666,256,0.0,12,0.40004619954427084,1.0,0.12232741713523859,0.1809333333333333
2,0.6666666666666666,256,5.0,12,0.337685205078125,1.0,0.17798970639705655,0.24273333333333333
2,0.6666666666666666,256,10.0,12,0.23861976725260417,1.0,0.25234182427326834,0.3184166666666666
2,0.6666666666666666,256,15.0,12,0.12960501302083335,1.0,0.30725480367739993,0.3534916666666667
2,0.6666666666666666,256,20.0,12,0.0033253173828125,0.13986036112048594,0.46619856854279834,0.4245583333333333
2,0.75,4,-10.0,12,0.37588534342447916,1.0,0.05442656359324847,0.14225833333333335
2,0.75,4,-5.0,12,0.2868879720052083,1.0,0.09837535582482809,0.1847916666666667
2,0.75,4,0.0,12,0.15646138509114585,1.0,0.18527670328815773,0.26824166666666666
2,0.75,4,5.0,12,0.0011571858723958333,0.06883800031640559,0.47064467519521713,0.4259
2,0.75,4,10.0,12,0.0,0.0,0.47556548068920773,0.42783333333333334
2,0.75,4,15.0,12,0.0,0.0,0.47556548068920773,0.42783333333333334
2,0.75,4,20.0,12,0.0,0.0,0.47556548068920773,0.42783333333333334
2,0.75,16,-10.0,12,0.4375276611328125,1.0,0.10303953414161997,0.17153333333333332
2,0.75,16,-5.0,12,0.3804073811848958,1.0,0.15719577049215636,0.222325
2,0.75,16,0.0,12,0.2833811442057292,1.0,0.2179770929117997,0.2793
2,0.75,16,5.0,12,0.16242703450520832,1.0,0.2684761931498845,0.32169166666666665
2,0.75,16,10.0,12,0.024745556640625,0.7475201708590413,0.40939681728680927,0.40077500000000005
2,0.75,16,15.0,12,0.0,0.0,0.47556548068920773,0.42783333333333334
2,0.75,16,20.0,12,0.0,0.0,0.47556548068920773,0.42783333333333334
2,0.75,64,-10.0,12,0.46177441406249997,1.0,0.04491413384675975,0.113275
2,0.75,64,-5.0,12,0.4302448160807291,1.0,0.06880463442454732,0.13396666666666665
2,0.75,64,0.0,12,0.3750537516276042,1.0,0.11300114604334033,0.16528333333333334
2,0.75,64,5.0,12,0.2556329833984375,1.0,0.13974531739950177,0.21281666666666665
2,0.75,64,10.0,12,0.14412601725260418,1.0,0.21551055957873658,0.2844
